video_id,exp_id,target_obj_id,target_category,query,n_same_cat,n_other,co_visible_frames,co_visible_ratio,min_centroid_dist_norm,max_dilated_overlap,target_gap_frames,target_absent_frames,query_type,rank_score,in_top_k
226f1e10f7,7,4,sheep,a baby white sheep on the left side towards the back by the edge of grass on the right of larger one,4,4,27,0.9,0.0256,0.2432,1,1,multi_relation,10.4438,1
b00ff71889,2,2,person,a person wearing a grey long sleeved shirt is flying in the air with another holding on to them,1,3,36,1.0,0.0168,0.2943,0,0,multi_relation,9.6117,1
b00ff71889,3,2,person,an amateur sky diver strapped under a person wearing a red helmet,1,3,36,1.0,0.0168,0.2943,0,0,multi_relation,9.6117,1
226f1e10f7,6,4,sheep,the smallest baby sheep of the herd,4,4,27,0.9,0.0256,0.2432,1,1,other,9.308,1
226f1e10f7,2,2,sheep,a baby sheep walking behind the white baby sheep,4,4,24,1.0,0.0454,0.1549,0,7,motion,8.2395,1
226f1e10f7,3,2,sheep,a small white sheep is behind another small one on the left by the edge of the grass,4,4,24,1.0,0.0454,0.1549,0,7,multi_relation,8.2395,1
226f1e10f7,8,5,sheep,a sheep walking behind the smallest baby sheep,4,4,28,1.0,0.0256,0.1384,0,3,motion,7.8856,1
226f1e10f7,9,5,sheep,a larger tan sheep on the left in the back among the group with a smaller white baby to the right of it,4,4,28,1.0,0.0256,0.1384,0,3,multi_relation,7.8856,1
b00ff71889,0,1,person,a person wearing a red helmet and black shirt flying in the air with a parachute,1,3,36,1.0,0.0168,0.2064,0,0,multi_relation,7.5022,1
b00ff71889,1,1,person,a skydiver wearing a red helmet carrying another person under them,1,3,36,1.0,0.0168,0.2064,0,0,multi_relation,7.5022,1
226f1e10f7,4,3,sheep,a brown sheep walking directly behind a baby sheep,4,4,22,1.0,0.0454,0.106,0,9,motion,7.0673,1
226f1e10f7,5,3,sheep,a larger tan sheep on the left in the middle by the edge of the grass with a smaller one on the right,4,4,22,1.0,0.0454,0.106,0,9,multi_relation,7.0673,1
226f1e10f7,0,1,sheep,a white baby sheep running in the middle of the herd,4,4,22,1.0,0.0698,0.107,0,9,multi_relation,7.0405,1
226f1e10f7,1,1,sheep,a small white sheep is in front of the group in the middle walking to the right,4,4,22,1.0,0.0698,0.107,0,9,multi_relation,7.0405,1
0e8a6b63bb,2,2,bird,a black bird flying highest then below another bird,2,2,20,1.0,0.0411,0.1505,0,0,motion,6.7887,1
0e8a6b63bb,3,2,bird,a bird is flying and following the top bird above the water,2,2,20,1.0,0.0411,0.1505,0,0,multi_relation,6.7887,1
0e8a6b63bb,4,3,bird,a black bird flying among other birds to the left,2,2,20,1.0,0.0411,0.1437,0,0,motion,6.6237,1
0e8a6b63bb,5,3,bird,a bird which is flying below the top two is flying on the water,2,2,20,1.0,0.0411,0.1437,0,0,multi_relation,6.6237,1
b5514f75d8,0,1,fish,a black and white fish,2,2,23,1.0,0.0967,0.0765,6,6,multi_appearance,6.4169,1
b5514f75d8,1,1,fish,a black fish swimming in an aquarium,2,2,23,1.0,0.0967,0.0765,6,6,motion,6.4169,1
eb263ef128,2,2,ape,an ape right behind another one,3,3,36,1.0,0.0821,0.1042,0,0,multi_relation,6.2704,1
eb263ef128,3,2,ape,first seated gorilla from the right of the view playing with another on its left,3,3,36,1.0,0.0821,0.1042,0,0,multi_relation,6.2704,1
