key,dataset,video_id,object_id,expression_id,description_type,expression,prompt_method,prompt,candidate_count,oracle_track_id,oracle_J,oracle_F,oracle_J_and_F,recall_at_0_3,recall_at_0_5,recall_at_0_7,candidate_metrics
long_rvos/a3f2b5d434/2/11/raw_expression,long_rvos,a3f2b5d434,2,11,dynamic,"The cat stands on the black square, watching the dog run in circles below.",raw_expression,"The cat stands on the black square, watching the dog run in circles below.",0,,0.0,0.0,0.0,0,0,0,[]
long_rvos/a3f2b5d434/2/11/concept,long_rvos,a3f2b5d434,2,11,dynamic,"The cat stands on the black square, watching the dog run in circles below.",concept,cat,4,2,0.9259132238833354,0.9436234878578702,0.9347683558706028,1,1,1,"[{""track_id"":0,""confidence"":0.8128654956817627,""J"":0.0,""F"":0.00023725596529284166,""J_and_F"":0.00011862798264642083},{""track_id"":1,""confidence"":0.7655677795410156,""J"":0.00021470480255019494,""F"":0.038379891958169925,""J_and_F"":0.01929729838036006},{""track_id"":2,""confidence"":0.8865247964859009,""J"":0.9259132238833354,""F"":0.9436234878578702,""J_and_F"":0.9347683558706028},{""track_id"":3,""confidence"":0.675126850605011,""J"":0.0,""F"":0.0014768124221022018,""J_and_F"":0.0007384062110511009}]"
long_rvos/a3f2b5d434/2/11/qwen_concept,long_rvos,a3f2b5d434,2,11,dynamic,"The cat stands on the black square, watching the dog run in circles below.",qwen_concept,cat,4,2,0.9259132238833354,0.9436234878578702,0.9347683558706028,1,1,1,"[{""track_id"":0,""confidence"":0.8128654956817627,""J"":0.0,""F"":0.00023725596529284166,""J_and_F"":0.00011862798264642083},{""track_id"":1,""confidence"":0.7655677795410156,""J"":0.00021470480255019494,""F"":0.038379891958169925,""J_and_F"":0.01929729838036006},{""track_id"":2,""confidence"":0.8865247964859009,""J"":0.9259132238833354,""F"":0.9436234878578702,""J_and_F"":0.9347683558706028},{""track_id"":3,""confidence"":0.675126850605011,""J"":0.0,""F"":0.0014768124221022018,""J_and_F"":0.0007384062110511009}]"
long_rvos/a3f2b5d434/2/7/raw_expression,long_rvos,a3f2b5d434,2,7,dynamic,The cat watches the dog spin in circles.,raw_expression,The cat watches the dog spin in circles.,1,0,0.9163016964810029,0.937780166252279,0.927040931366641,1,1,1,"[{""track_id"":0,""confidence"":0.7387754917144775,""J"":0.9163016964810029,""F"":0.937780166252279,""J_and_F"":0.927040931366641}]"
long_rvos/a3f2b5d434/2/7/concept,long_rvos,a3f2b5d434,2,7,dynamic,The cat watches the dog spin in circles.,concept,cat,4,2,0.9259132238833354,0.9436234878578702,0.9347683558706028,1,1,1,"[{""track_id"":0,""confidence"":0.8128654956817627,""J"":0.0,""F"":0.00023725596529284166,""J_and_F"":0.00011862798264642083},{""track_id"":1,""confidence"":0.7655677795410156,""J"":0.00021470480255019494,""F"":0.038379891958169925,""J_and_F"":0.01929729838036006},{""track_id"":2,""confidence"":0.8865247964859009,""J"":0.9259132238833354,""F"":0.9436234878578702,""J_and_F"":0.9347683558706028},{""track_id"":3,""confidence"":0.675126850605011,""J"":0.0,""F"":0.0014768124221022018,""J_and_F"":0.0007384062110511009}]"
long_rvos/a3f2b5d434/2/7/qwen_concept,long_rvos,a3f2b5d434,2,7,dynamic,The cat watches the dog spin in circles.,qwen_concept,cat,4,2,0.9259132238833354,0.9436234878578702,0.9347683558706028,1,1,1,"[{""track_id"":0,""confidence"":0.8128654956817627,""J"":0.0,""F"":0.00023725596529284166,""J_and_F"":0.00011862798264642083},{""track_id"":1,""confidence"":0.7655677795410156,""J"":0.00021470480255019494,""F"":0.038379891958169925,""J_and_F"":0.01929729838036006},{""track_id"":2,""confidence"":0.8865247964859009,""J"":0.9259132238833354,""F"":0.9436234878578702,""J_and_F"":0.9347683558706028},{""track_id"":3,""confidence"":0.675126850605011,""J"":0.0,""F"":0.0014768124221022018,""J_and_F"":0.0007384062110511009}]"
long_rvos/a3f2b5d434/2/9/raw_expression,long_rvos,a3f2b5d434,2,9,dynamic,"The cat stands on the black chair, watching the dog spinning beside the chair, occasionally spinning around and reaching out to touch the carpet and the dog.",raw_expression,"The cat stands on the black chair, watching the dog spinning beside the chair, occasionally spinning around and reaching out to touch the carpet and the dog.",0,,0.0,0.0,0.0,0,0,0,[]
long_rvos/a3f2b5d434/2/9/concept,long_rvos,a3f2b5d434,2,9,dynamic,"The cat stands on the black chair, watching the dog spinning beside the chair, occasionally spinning around and reaching out to touch the carpet and the dog.",concept,cat,4,2,0.9259132238833354,0.9436234878578702,0.9347683558706028,1,1,1,"[{""track_id"":0,""confidence"":0.8128654956817627,""J"":0.0,""F"":0.00023725596529284166,""J_and_F"":0.00011862798264642083},{""track_id"":1,""confidence"":0.7655677795410156,""J"":0.00021470480255019494,""F"":0.038379891958169925,""J_and_F"":0.01929729838036006},{""track_id"":2,""confidence"":0.8865247964859009,""J"":0.9259132238833354,""F"":0.9436234878578702,""J_and_F"":0.9347683558706028},{""track_id"":3,""confidence"":0.675126850605011,""J"":0.0,""F"":0.0014768124221022018,""J_and_F"":0.0007384062110511009}]"
long_rvos/a3f2b5d434/2/9/qwen_concept,long_rvos,a3f2b5d434,2,9,dynamic,"The cat stands on the black chair, watching the dog spinning beside the chair, occasionally spinning around and reaching out to touch the carpet and the dog.",qwen_concept,cat,4,2,0.9259132238833354,0.9436234878578702,0.9347683558706028,1,1,1,"[{""track_id"":0,""confidence"":0.8128654956817627,""J"":0.0,""F"":0.00023725596529284166,""J_and_F"":0.00011862798264642083},{""track_id"":1,""confidence"":0.7655677795410156,""J"":0.00021470480255019494,""F"":0.038379891958169925,""J_and_F"":0.01929729838036006},{""track_id"":2,""confidence"":0.8865247964859009,""J"":0.9259132238833354,""F"":0.9436234878578702,""J_and_F"":0.9347683558706028},{""track_id"":3,""confidence"":0.675126850605011,""J"":0.0,""F"":0.0014768124221022018,""J_and_F"":0.0007384062110511009}]"
long_rvos/a3f2b5d434/2/15/raw_expression,long_rvos,a3f2b5d434,2,15,hybrid,A black and white cat watches a dog spin in circles.,raw_expression,A black and white cat watches a dog spin in circles.,2,1,0.6430155433452364,0.6534735372348202,0.6482445402900283,1,1,0,"[{""track_id"":0,""confidence"":0.7968254089355469,""J"":0.043178661297938986,""F"":0.04453412191216039,""J_and_F"":0.043856391605049685},{""track_id"":1,""confidence"":0.7419355511665344,""J"":0.6430155433452364,""F"":0.6534735372348202,""J_and_F"":0.6482445402900283}]"
